Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Bride of Chucky,32404188.0,50692188.0,,25000000.0,Oct 16 1998,R,89.0,Universal,Original Screenplay,Horror,Fantasy,Ronny Yu,43.0,5.3,13735.0
Children of Men,35552383.0,69450202.0,25345271.0,76000000.0,Dec 25 2006,R,114.0,Universal,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Alfonso Cuaron,93.0,8.1,158125.0
Love in the Time of Cholera,4617608.0,31077418.0,,45000000.0,Nov 16 2007,R,139.0,New Line,Based on Book/Short Story,Drama,Historical Fiction,Mike Newell,27.0,6.2,8580.0
Chocolat,71309760.0,152500343.0,,25000000.0,Dec 15 2000,PG-13,122.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Lasse Hallstrom,62.0,7.3,56176.0
Charlotte's Web,82985708.0,143985708.0,83571732.0,82500000.0,Dec 15 2006,G,98.0,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,Gary Winick,78.0,6.7,8028.0
Cinderella Man,61649911.0,108539911.0,,88000000.0,Jun 03 2005,PG-13,144.0,Universal,Based on Real Life Events,Drama,Dramatization,Ron Howard,80.0,8.0,63111.0
A Cinderella Story,51438175.0,70067909.0,,19000000.0,Jul 16 2004,PG,95.0,Warner Bros.,Traditional/Legend/Fairytale,Romantic Comedy,Contemporary Fiction,,10.0,5.4,14904.0
City of Angels,78750909.0,198750909.0,,55000000.0,Apr 10 1998,PG-13,117.0,Warner Bros.,Remake,Drama,Fantasy,Brad Silberling,59.0,6.4,40053.0
A Civil Action,56709981.0,56709981.0,,60000000.0,Dec 25 1998,PG-13,112.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Zaillian,61.0,6.4,14244.0
The Santa Clause 2,139225854.0,172825854.0,,65000000.0,Nov 01 2002,G,104.0,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Michael Lembeck,,5.5,9061.0
Cold Mountain,95632614.0,161632614.0,,80000000.0,Dec 25 2003,R,152.0,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,70.0,7.3,51083.0
Code Name: The Cleaner,8135024.0,8135024.0,4492233.0,20000000.0,Jan 05 2007,PG-13,91.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,Les Mayfield,4.0,4.0,5277.0
Closer,33987757.0,115987757.0,,35000000.0,Dec 03 2004,R,104.0,Sony Pictures,Based on Play,Drama,Contemporary Fiction,Mike Nichols,68.0,2.9,212.0
Maid in Manhattan,93932896.0,154832896.0,,55000000.0,Dec 13 2002,PG-13,105.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Wayne Wang,39.0,4.6,30370.0
Constantine,75976178.0,230884728.0,,75000000.0,Feb 18 2005,R,122.0,Warner Bros.,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Francis Lawrence,46.0,6.7,78705.0
Coach Carter,67264877.0,76669806.0,,45000000.0,Jan 14 2005,PG-13,136.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,,65.0,7.1,23526.0
Agent Cody Banks 2: Destination London,23514247.0,28703083.0,,26000000.0,Mar 12 2004,PG,100.0,MGM,Original Screenplay,Comedy,Kids Fiction,,,4.1,4063.0
Agent Cody Banks,47545060.0,58240458.0,,25000000.0,Mar 14 2003,PG,102.0,MGM,Original Screenplay,Comedy,Kids Fiction,,38.0,5.1,9527.0
Collateral,100170152.0,217670152.0,,60000000.0,Aug 06 2004,R,120.0,Dreamworks SKG,Original Screenplay,Action,Contemporary Fiction,Michael Mann,86.0,7.8,105362.0
College,4694491.0,5629618.0,,6000000.0,Aug 29 2008,R,94.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,,5.0,4.3,6496.0
Con Air,101117573.0,224117573.0,,80000000.0,Jun 06 1997,R,115.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Simon West,57.0,6.6,76052.0
Conspiracy Theory,76118990.0,137118990.0,,80000000.0,Aug 08 1997,R,135.0,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Richard Donner,51.0,6.5,35719.0
Contact,100920329.0,165900000.0,,90000000.0,Jul 11 1997,PG,150.0,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Robert Zemeckis,67.0,7.3,73684.0
Copying Beethoven,355968.0,355968.0,,11000000.0,Nov 10 2006,PG-13,104.0,MGM,Based on Real Life Events,Drama,Dramatization,,,6.8,5017.0
Corky Romano,23978402.0,23978402.0,,11000000.0,Oct 12 2001,PG-13,86.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,5.0,4.2,6739.0
Coraline,75286229.0,124062750.0,46101073.0,60000000.0,Feb 06 2009,PG,100.0,Focus Features,Based on Book/Short Story,Adventure,Kids Fiction,,89.0,7.8,38464.0
Confessions of a Teenage Drama Queen,29331068.0,33051296.0,,15000000.0,Feb 20 2004,PG,89.0,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,,13.0,4.3,9976.0
The Covenant,23364784.0,38164784.0,26360430.0,20000000.0,Sep 08 2006,PG-13,95.0,Sony/Screen Gems,Based on Comic/Graphic Novel,Thriller/Suspense,Contemporary Fiction,Renny Harlin,3.0,4.8,17736.0
Cop Land,44906632.0,63706632.0,,15000000.0,Aug 15 1997,R,105.0,Miramax,Original Screenplay,Drama,Contemporary Fiction,James Mangold,71.0,6.9,35192.0
Couples Retreat,109205660.0,172450423.0,34715888.0,60000000.0,Oct 09 2009,PG-13,113.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12.0,5.5,18332.0
Crank,27838408.0,33824696.0,28776986.0,12000000.0,Sep 01 2006,R,88.0,Lionsgate,Original Screenplay,Action,Contemporary Fiction,,61.0,7.1,71094.0
Cradle 2 the Grave,34657731.0,56434942.0,,25000000.0,Feb 28 2003,R,101.0,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26.0,5.4,14834.0
Crocodile Hunter: Collision Course,28436931.0,33436931.0,,12500000.0,Jul 12 2002,PG,90.0,MGM,Based on TV,Comedy,Contemporary Fiction,,,,
The Corruptor,15164492.0,15164492.0,,10000000.0,Mar 12 1999,R,110.0,New Line,Original Screenplay,Action,Contemporary Fiction,James Foley,48.0,5.8,9008.0
Man cheng jin dai huang jin jia,6566773.0,75566773.0,10581873.0,45000000.0,Dec 21 2006,R,113.0,Sony Pictures Classics,Based on Play,Action,Historical Fiction,Yimou Zhang,,7.0,17975.0
Crash,54557348.0,98387109.0,,6500000.0,May 06 2005,R,107.0,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,Paul Haggis,75.0,6.1,20886.0
Crossroads,37188667.0,57000000.0,,12000000.0,Feb 15 2002,PG-13,93.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,,14.0,6.6,4894.0
The Count of Monte Cristo,54228104.0,54228104.0,,40000000.0,Jan 25 2002,PG-13,131.0,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Kevin Reynolds,74.0,7.6,40605.0
Cruel Intentions,38230075.0,75803716.0,,11000000.0,Mar 05 1999,R,95.0,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Roger Kumble,47.0,6.7,66861.0
Clockstoppers,36985501.0,38788828.0,,26000000.0,Mar 29 2002,PG,94.0,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Jonathan Frakes,28.0,5.0,6392.0
Cats & Dogs,93375151.0,200700000.0,,60000000.0,Jul 04 2001,PG,91.0,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,53.0,5.2,16912.0
The City of Your Final Destination,493296.0,493296.0,,8300000.0,Apr 16 2010,PG-13,114.0,Hyde Park Films,Based on Book/Short Story,Drama,Contemporary Fiction,James Ivory,40.0,6.6,430.0
Coyote Ugly,60786269.0,115786269.0,,45000000.0,Aug 04 2000,PG-13,101.0,Walt Disney Pictures,Based on Real Life Events,Drama,Contemporary Fiction,,21.0,5.3,33808.0
Cloudy with a Chance of Meatballs,124870275.0,139525862.0,42574228.0,100000000.0,Sep 18 2009,PG,90.0,Sony Pictures,Based on Book/Short Story,Comedy,Kids Fiction,Phil Lord,86.0,7.2,19913.0
Daddy Day Camp,13235267.0,18197398.0,5405521.0,76000000.0,Aug 08 2007,PG,85.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,1.0,2.4,6809.0
Daddy Day Care,104148781.0,164285587.0,,60000000.0,May 09 2003,PG,92.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28.0,5.5,14944.0
The Black Dahlia,22672813.0,46672813.0,12350794.0,60000000.0,Sep 15 2006,R,121.0,Universal,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Brian De Palma,33.0,5.6,35210.0
Diary of a Mad Black Woman,50406346.0,50425450.0,,5500000.0,Feb 25 2005,PG-13,116.0,Lionsgate,Based on Play,Drama,Contemporary Fiction,,16.0,4.9,5565.0
Dance Flick,25662155.0,32092761.0,,25000000.0,May 22 2009,PG-13,83.0,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Damien Wayans,17.0,3.4,5002.0
Daredevil,102543518.0,179179718.0,,80000000.0,Feb 14 2003,PG-13,105.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,44.0,5.5,63574.0
Dawn of the Dead,58990765.0,102290765.0,,28000000.0,Mar 19 2004,R,100.0,Universal,Remake,Horror,Science Fiction,Zack Snyder,76.0,7.4,73875.0
The Great Debaters,30226144.0,30226144.0,24133037.0,15000000.0,Dec 25 2007,PG-13,130.0,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Denzel Washington,79.0,7.6,14530.0
Double Jeopardy,116735231.0,177835231.0,,40000000.0,Sep 24 1999,R,105.0,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Bruce Beresford,25.0,6.0,28887.0
Deep Blue Sea,73648228.0,165048228.0,,60000000.0,Jul 28 1999,R,105.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,57.0,5.6,44191.0
Drive Me Crazy,17843379.0,22591451.0,,8000000.0,Oct 01 1999,PG-13,91.0,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,John Schultz,26.0,5.1,6968.0
Mr. Deeds,126293452.0,171269535.0,,50000000.0,Jun 28 2002,PG-13,96.0,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,,22.0,5.5,39756.0
DÈj‡ Vu,64038616.0,181038616.0,40502497.0,80000000.0,Nov 22 2006,PG-13,126.0,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Tony Scott,,7.0,66106.0
Delgo,915840.0,915840.0,,40000000.0,Dec 12 2008,PG,88.0,Freestyle Releasing,Original Screenplay,Adventure,Kids Fiction,,12.0,4.4,1177.0
Despicable Me,244885070.0,333572855.0,,69000000.0,Jul 09 2010,PG,95.0,Universal,,Comedy,,,80.0,7.7,10529.0
Deuce Bigalow: Male Gigolo,65535067.0,92935067.0,,18000000.0,Dec 10 1999,R,88.0,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,23.0,5.6,25397.0
Darkness Falls,32539681.0,32539681.0,,7000000.0,Jan 24 2003,PG-13,86.0,Sony Pictures,Original Screenplay,Horror,Fantasy,,8.0,4.6,12771.0
Dragonfly,30063805.0,30063805.0,,60000000.0,Feb 22 2002,PG-13,104.0,Universal,Original Screenplay,Drama,Fantasy,Tom Shadyac,7.0,5.8,14098.0
Live Free or Die Hard,134529403.0,383531464.0,100774964.0,110000000.0,Jun 27 2007,PG-13,128.0,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82.0,7.5,130559.0
Banlieue 13,1200216.0,11208291.0,,15000000.0,Jun 02 2006,R,85.0,Magnolia Pictures,Original Screenplay,Action,Science Fiction,Pierre Morel,,7.1,21427.0
Disaster Movie,14190901.0,34690901.0,9859088.0,20000000.0,Aug 29 2008,PG-13,88.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,1.7000000000000002,34928.0
District 9,115646235.0,206552113.0,30058184.0,30000000.0,Aug 14 2009,R,111.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91.0,8.3,151742.0
Disturbing Behavior,17507368.0,17507368.0,,15000000.0,Jul 24 1998,R,83.0,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,30.0,5.2,9394.0
Dead Man on Campus,15064948.0,15064948.0,,14000000.0,Aug 21 1998,R,93.0,Paramount Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,15.0,5.6,7109.0
Dinosaur,137748063.0,356148063.0,,127500000.0,May 19 2000,PG,82.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,65.0,6.2,13962.0
Dogma,30651422.0,43948865.0,,10000000.0,Nov 12 1999,R,135.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,68.0,7.3,100476.0
Domestic Disturbance,45207112.0,45207112.0,,53000000.0,Nov 02 2001,PG-13,89.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24.0,5.3,10778.0
Domino,10169202.0,17759202.0,15573570.0,50000000.0,Oct 14 2005,R,133.0,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19.0,5.9,32560.0
Donnie Brasco,41954997.0,55954997.0,,35000000.0,Feb 28 1997,R,121.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Mike Newell,87.0,7.7,65462.0
Doug's 1st Movie,19421271.0,19421271.0,,5000000.0,Mar 26 1999,G,77.0,Walt Disney Pictures,Based on TV,Adventure,Kids Fiction,,,4.8,920.0
Deep Impact,140464664.0,349464664.0,,80000000.0,May 08 1998,PG-13,120.0,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47.0,6.0,54160.0
The Departed,133311000.0,290539042.0,140689412.0,90000000.0,Oct 06 2006,R,152.0,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93.0,8.5,264148.0
Dracula 2000,33000377.0,33000377.0,,28000000.0,Dec 22 2000,R,99.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,,15.0,4.8,14077.0
Death Race,36316032.0,72516819.0,24667330.0,65000000.0,Aug 22 2008,R,105.0,Universal,Remake,Action,Science Fiction,Paul Anderson,41.0,6.6,40611.0
Drag Me To Hell,42100625.0,85724728.0,13123388.0,30000000.0,May 29 2009,PG-13,99.0,Universal,Original Screenplay,Horror,Fantasy,Sam Raimi,92.0,7.1,51343.0
"Crouching Tiger, Hidden Dragon",128067808.0,213200000.0,,15000000.0,Dec 08 2000,PG-13,120.0,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,,,
Doctor Dolittle 2,112950721.0,176101721.0,,72000000.0,Jun 22 2001,PG,87.0,20th Century Fox,Remake,Comedy,Kids Fiction,Steve Carr,,6.0,2993.0
Doctor Dolittle,144156605.0,294156605.0,,71500000.0,Jun 26 1998,PG-13,85.0,20th Century Fox,Remake,Comedy,Kids Fiction,Betty Thomas,,5.2,25648.0
Driven,32616869.0,54616869.0,,72000000.0,Apr 27 2001,PG-13,117.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13.0,4.2,18795.0
Dreamcatcher,33685268.0,75685268.0,,68000000.0,Mar 21 2003,R,136.0,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30.0,5.3,34141.0
Dreamgirls,103365956.0,154965956.0,53674555.0,75000000.0,Dec 15 2006,PG-13,130.0,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78.0,6.6,28016.0
Drumline,56398162.0,56398162.0,,20000000.0,Dec 13 2002,PG-13,118.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,81.0,5.2,18165.0
The Descent,26024456.0,57029609.0,22484444.0,7000000.0,Aug 04 2006,R,99.0,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,7.4,58176.0
The Master of Disguise,40363530.0,40363530.0,,16000000.0,Aug 02 2002,PG,80.0,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,,2.0,3.0,10050.0
Disturbia,80209692.0,117573043.0,34508128.0,20000000.0,Apr 13 2007,PG-13,104.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68.0,7.0,72231.0
Double Take,29823162.0,29823162.0,,24000000.0,Jan 12 2001,PG-13,88.0,Walt Disney Pictures,Remake,Action,Contemporary Fiction,,12.0,6.8,162.0
Death at a Funeral,8580428.0,34743644.0,,20000000.0,Aug 17 2007,R,90.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61.0,5.1,6628.0
The Dukes of Hazzard,80270227.0,110570227.0,,53000000.0,Aug 05 2005,PG-13,105.0,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13.0,4.7,27016.0
Dumb and Dumberer: When Harry Met Lloyd,26214846.0,26214846.0,,30000000.0,Jun 13 2003,PG-13,85.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,,10.0,3.3,14813.0
Devil's Advocate,61007424.0,153007424.0,,57000000.0,Oct 17 1997,R,144.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Taylor Hackford,,,
D-War,10977721.0,79915361.0,7614486.0,32000000.0,Sep 14 2007,PG-13,90.0,Freestyle Releasing,Traditional/Legend/Fairytale,Action,Fantasy,,,3.8,14081.0
Down to Earth,64172251.0,71172251.0,,30000000.0,Feb 16 2001,PG-13,87.0,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19.0,5.0,9193.0
Down to You,20035310.0,20035310.0,,9000000.0,Jan 21 2000,PG-13,92.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,,3.0,4.4,7095.0
EDtv,22508689.0,35319689.0,,60000000.0,Mar 26 1999,PG-13,122.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62.0,6.0,21734.0
Eagle Eye,101440743.0,178066569.0,38374936.0,80000000.0,Sep 26 2008,PG-13,117.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27.0,6.6,52336.0
8MM,36443442.0,96398826.0,,40000000.0,Feb 26 1999,R,119.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22.0,6.3,47753.0
Election,14943582.0,14943582.0,,8500000.0,Apr 23 1999,R,103.0,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Alexander Payne,92.0,7.4,37454.0
Elf,173398518.0,220443451.0,,32000000.0,Nov 07 2003,PG,95.0,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84.0,6.8,42123.0
Elizabeth,30082699.0,82150642.0,,25000000.0,Nov 06 1998,R,124.0,Gramercy,Based on Real Life Events,Drama,Dramatization,Shekhar Kapur,81.0,7.6,33773.0
Ella Enchanted,22913677.0,22913677.0,,35000000.0,Apr 09 2004,PG,96.0,Miramax,Based on Book/Short Story,Comedy,Fantasy,,49.0,6.3,12020.0
Once Upon a Time in Mexico,56330657.0,98156459.0,,29000000.0,Sep 12 2003,R,102.0,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68.0,6.2,54413.0
La marche de l'empereur,77437223.0,129437223.0,,3400000.0,Jun 24 2005,G,80.0,Warner Independent,Based on Real Life Events,Documentary,Factual,,,7.8,23674.0
Employee of the Month,28444855.0,38117718.0,21177885.0,10000000.0,Oct 06 2006,PG-13,103.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,20.0,5.4,17845.0
The Emperor's New Groove,89296573.0,169296573.0,,100000000.0,Dec 15 2000,G,78.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85.0,7.4,23355.0
Enchanted,127706877.0,340384141.0,87698079.0,85000000.0,Nov 21 2007,PG,108.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92.0,7.5,55697.0
End of Days,66889043.0,212026975.0,,100000000.0,Nov 24 1999,R,120.0,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11.0,5.4,43513.0
Enemy at the Gates,51396781.0,96971293.0,,85000000.0,Mar 16 2001,R,131.0,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53.0,7.4,59916.0
Enemy of the State,111549836.0,250649836.0,,85000000.0,Nov 20 1998,R,127.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70.0,7.2,66700.0
Entrapment,87707396.0,211700000.0,,66000000.0,Apr 30 1999,PG-13,112.0,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38.0,6.1,40764.0
Enough,39177215.0,39177215.0,,38000000.0,May 24 2002,PG-13,115.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21.0,6.5,92.0
Epic Movie,39739367.0,86858578.0,16839362.0,20000000.0,Jan 26 2007,PG-13,86.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,2.2,48975.0
Eragon,75030163.0,249488115.0,87700229.0,100000000.0,Dec 15 2006,PG,102.0,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,16.0,5.0,43555.0
Erin Brockovich,125548685.0,258400000.0,,50000000.0,Mar 17 2000,R,133.0,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83.0,7.2,54977.0
Elizabethtown,26850426.0,50719373.0,15854391.0,54000000.0,Oct 14 2005,PG-13,133.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28.0,6.4,31775.0
Eat Pray Love,78146373.0,81846373.0,,60000000.0,Aug 13 2010,R,143.0,Sony Pictures,Based on Magazine Article,Drama,Contemporary Fiction,,37.0,4.7,3019.0
Eternal Sunshine of the Spotless Mind,34366518.0,47066518.0,,20000000.0,Mar 19 2004,R,108.0,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93.0,8.5,219986.0
Eve's Bayou,14843425.0,14843425.0,,5000000.0,Nov 07 1997,R,109.0,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80.0,7.0,4509.0
Event Horizon,26673242.0,26673242.0,,60000000.0,Aug 15 1997,R,95.0,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21.0,6.3,44671.0
Ever After: A Cinderella Story,65705772.0,65705772.0,,26000000.0,Jul 31 1998,PG,122.0,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,,,
Evita,50047179.0,151947179.0,,55000000.0,Dec 25 1996,PG,134.0,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61.0,6.1,16769.0
Evolution,38311134.0,98341932.0,,80000000.0,Jun 08 2001,PG-13,102.0,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42.0,5.9,39590.0
Exit Wounds,51758599.0,79958599.0,,33000000.0,Mar 16 2001,R,100.0,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33.0,5.2,14528.0
The Exorcism of Emily Rose,75072454.0,144216468.0,,18000000.0,Sep 09 2005,PG-13,114.0,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45.0,6.8,32425.0
Exorcist: The Beginning,41814863.0,43957541.0,,78000000.0,Aug 20 2004,R,114.0,Warner Bros.,Based on Book/Short Story,Horror,Historical Fiction,Renny Harlin,,5.0,15901.0
The Express,9793406.0,9808102.0,6580715.0,37500000.0,Oct 04 2008,PG,129.0,Universal,Based on Book/Short Story,Drama,Dramatization,,61.0,7.1,4749.0
Eyes Wide Shut,55691208.0,86257553.0,,65000000.0,Jul 16 1999,R,159.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78.0,7.2,93880.0
The Faculty,40283321.0,40283321.0,,15000000.0,Dec 25 1998,R,102.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51.0,6.3,36139.0
Keeping the Faith,37036404.0,45336404.0,,29000000.0,Apr 14 2000,PG-13,129.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,68.0,6.5,25485.0
The Family Stone,60062868.0,91762868.0,23961409.0,18000000.0,Dec 16 2005,PG-13,103.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,52.0,6.3,24434.0
Father's Day,28681080.0,35681080.0,,85000000.0,May 09 1997,PG-13,98.0,Warner Bros.,Remake,Comedy,Contemporary Fiction,Ivan Reitman,,4.8,6654.0
Face/Off,112276146.0,241200000.0,,80000000.0,Jun 27 1997,R,138.0,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93.0,7.3,102001.0
Final Destination 2,46896664.0,89626226.0,,26000000.0,Jan 31 2003,R,90.0,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47.0,6.4,35737.0
The Fifth Element,63570862.0,263900000.0,,95000000.0,May 09 1997,PG-13,105.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72.0,7.4,131252.0
Bring it On,68353550.0,90453550.0,,10000000.0,Aug 25 2000,PG-13,99.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63.0,5.9,30309.0
Fantastic Four,154696080.0,330579719.0,4702358.0,87500000.0,Jul 08 2005,PG-13,123.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27.0,5.7,71675.0
54,16757163.0,16757163.0,,13000000.0,Aug 28 1998,R,92.0,Miramax,Original Screenplay,Drama,Dramatization,,13.0,5.6,15023.0
2 Fast 2 Furious,127120058.0,236220058.0,,76000000.0,Jun 06 2003,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36.0,5.1,44151.0
The Fast and the Furious,144512310.0,206512310.0,,38000000.0,Jun 22 2001,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53.0,6.0,67939.0
Fahrenheit 9/11,119114517.0,222414517.0,,6000000.0,Jun 23 2004,R,122.0,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83.0,7.6,74424.0
From Hell,31598308.0,31598308.0,,35000000.0,Oct 19 2001,R,123.0,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57.0,6.8,53477.0
Fido,298110.0,419801.0,,8000000.0,Jun 15 2007,R,93.0,Lionsgate,Original Screenplay,Horror,Fantasy,,,6.9,11683.0
Fight Club,37030102.0,100853753.0,,65000000.0,Oct 15 1999,R,139.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81.0,8.8,382470.0
Final Fantasy: The Spirits Within,32131830.0,85131830.0,,137000000.0,Jul 11 2001,PG-13,120.0,Sony Pictures,Based on Game,Adventure,Science Fiction,,,6.4,36227.0
Finding Forrester,51768623.0,80013623.0,,43000000.0,Dec 19 2000,PG-13,137.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74.0,7.2,35966.0
Final Destination,53302314.0,112802314.0,,23000000.0,Mar 17 2000,R,98.0,New Line,Original Screenplay,Horror,Fantasy,James Wong,31.0,6.8,52618.0
